price_bought,selling_price,delivery_time,buyers_offer,final_price,final_delivery_time
106.18,133.52,6.48,106.17,94.95,4.85
192.61,248.34,5.99,211.62,208.03,4.24
159.8,230.4,4.11,163.8,157.95,4.53
139.8,172.79,9.29,116.5,106.21,11.15
73.4,106.28,7.72,64.17,56.42,7.73
73.4,83.33,12.39,65.16,53.82,10.59
58.71,82.83,2.39,53.03,38.57,1.27
179.93,258.92,9.73,184.63,182.0,8.71
140.17,164.38,11.16,140.39,129.46,10.51
156.21,198.72,11.11,137.66,133.44,9.29
53.09,61.91,12.63,43.9,37.1,14.25
195.49,270.29,10.75,169.79,168.33,10.81
174.87,229.8,13.13,208.75,205.84,13.82
81.85,110.84,5.99,80.82,75.34,4.26
77.27,91.07,8.04,88.63,82.84,6.25
77.51,91.83,2.17,88.32,74.73,2.51
95.64,106.79,2.08,96.08,84.69,3.63
128.71,158.17,4.88,139.35,124.74,5.0
114.79,151.97,3.21,100.68,91.3,4.72
93.68,135.2,5.12,100.74,96.36,6.37
141.78,193.78,4.12,128.87,123.28,2.43
70.92,90.37,2.34,80.34,74.87,1.15
93.82,138.97,12.91,78.2,72.63,13.54
104.95,145.64,2.1,116.42,106.0,1.87
118.41,174.31,10.83,99.46,91.03,10.0
167.78,219.96,3.83,193.36,186.96,3.5
79.95,96.23,12.95,73.69,70.6,12.73
127.14,142.54,12.71,134.99,133.68,14.36
138.86,193.08,9.85,138.17,134.1,8.26
56.97,65.43,10.07,53.92,51.42,9.19
141.13,172.34,2.06,149.34,137.35,2.21
75.58,99.23,13.82,89.11,86.53,14.61
59.76,79.22,12.53,48.79,37.65,13.06
192.33,257.77,12.74,224.56,218.16,14.51
194.84,227.29,9.91,203.35,201.32,11.09
171.26,214.4,6.14,192.31,179.93,6.37
95.69,128.89,12.72,91.25,82.13,11.58
64.65,96.2,5.5,63.92,59.62,5.3
152.63,212.32,8.75,175.15,161.63,9.53
116.02,170.44,3.2,112.07,110.44,4.55
68.31,95.96,13.06,69.25,65.43,14.9
124.28,166.12,3.69,100.43,88.9,4.11
55.16,64.91,4.7,47.63,36.69,4.81
186.4,254.75,8.7,196.96,191.91,6.77
88.82,119.85,11.17,96.53,94.66,9.46
149.38,200.31,9.43,154.31,141.3,8.06
96.76,125.39,4.79,82.95,77.56,3.0
128.01,167.88,2.01,125.21,121.47,1.61
132.01,162.87,11.09,124.36,116.13,10.43
77.73,101.65,13.82,77.59,63.85,14.37
195.44,230.43,11.72,224.39,222.78,11.86
166.27,236.45,7.52,184.62,172.9,7.91
190.92,224.21,12.85,159.15,150.14,12.73
184.22,208.91,6.92,212.99,206.03,6.03
139.68,178.03,8.3,138.11,126.69,10.11
188.28,256.69,7.73,206.65,192.13,6.07
63.27,80.68,7.37,54.16,49.95,9.13
79.4,96.13,11.3,84.82,81.81,10.55
56.78,75.14,8.32,50.8,37.01,8.37
98.8,122.39,5.8,96.36,86.0,4.24
108.3,159.54,5.1,87.37,80.24,3.38
90.7,133.25,2.45,78.06,69.04,2.17
174.31,226.77,9.0,145.87,134.43,9.97
103.51,127.44,4.76,92.74,80.91,3.84
92.14,128.52,3.78,77.4,63.52,4.03
131.4,146.47,9.85,141.49,134.52,8.96
71.14,91.76,10.17,57.74,52.63,9.73
170.33,210.28,11.03,178.35,168.4,12.65
61.18,89.83,8.04,52.39,45.57,9.47
198.03,218.79,12.73,233.3,223.97,12.79
165.84,219.09,13.24,194.57,187.69,12.19
79.81,111.43,11.69,71.04,67.9,10.46
50.83,65.77,9.63,53.15,45.58,11.44
172.32,195.44,5.64,139.79,129.11,4.46
156.03,232.32,13.8,182.98,170.79,15.03
159.35,208.3,5.29,160.82,152.91,4.77
165.69,222.97,4.43,135.42,132.1,6.37
61.11,73.0,7.31,57.26,50.45,6.78
103.77,134.22,2.68,86.21,74.2,2.09
67.38,85.68,13.74,64.49,57.71,14.29
179.47,202.79,9.06,191.66,180.91,10.91
143.49,163.94,8.68,141.77,133.67,10.59
99.63,142.97,9.87,95.0,90.62,10.7
59.53,71.2,7.96,50.46,38.32,8.98
96.65,113.85,2.38,86.79,84.61,2.64
98.78,128.6,9.35,82.98,74.63,10.37
159.44,224.41,10.59,179.05,175.13,12.03
145.63,163.81,7.0,124.39,122.45,6.95
183.08,243.63,11.09,190.07,182.03,11.57
120.83,138.68,4.72,113.23,105.24,4.87
67.94,75.72,4.66,60.49,49.6,4.91
156.99,176.0,3.94,165.74,154.32,5.5
164.12,235.29,6.46,161.3,150.11,5.89
134.19,153.94,12.16,128.83,122.1,11.0
165.65,185.2,11.93,171.8,161.95,11.76
124.07,158.21,6.59,123.64,114.56,5.43
128.41,184.6,9.07,118.32,111.41,9.06
114.13,137.52,10.65,116.83,107.47,12.26
53.81,68.27,4.89,57.46,43.2,5.36
66.18,73.86,4.02,53.65,49.95,5.44
54.71,70.01,13.67,53.97,40.29,12.33
145.46,193.62,9.41,119.73,117.98,11.01
97.15,129.05,13.78,84.97,79.65,14.18
